+──────+─────────+──────────+─────────+──────────+
| RAA  | Wins    | EFscore  | Salary  | Value    |
| -64  | -0.248  | 0.021    | 675000  | 451493   |
| -64  | -0.248  | 0.005    | 20000   | 451493   |
| -65  | -0.252  | 0.023    | 700000  | 447239   |
| -66  | -0.256  | 0.008    |         | 442984   |
| -68  | -0.263  | 0.013    | 325000  | 435539   |
| -68  | -0.264  | 0.001    |         | 434475   |
| -71  | -0.277  | 0.008    | 400000  | 420648   |
| -75  | -0.292  | 0.04     | 400000  | 404694   |
| -77  | -0.296  | 0.088    | 450000  | 400440   |
| -78  | -0.303  | 0.075    | 850000  | 392994   |
| -80  | -0.309  | 0.068    |         | 386613   |
| -81  | -0.312  | 0.088    |         | 383422   |
| -82  | -0.317  | 0.075    | 60000   | 378104   |
| -83  | -0.32   | 0.059    | 950000  | 374913   |
| -83  | -0.321  | 0.019    |         | 373849   |
| -83  | -0.321  | 0.009    | 300000  | 373849   |
| -90  | -0.347  | 0.021    |         | 346195   |
| -90  | -0.347  | 0.029    | 950000  | 346195   |
| -91  | -0.354  | 0.061    |         | 338750   |
| -93  | -0.359  | 0.055    |         | 333432   |
| -95  | -0.369  | 0.068    | 500000  | 322795   |
| -96  | -0.373  | 0.003    | 900000  | 318541   |
| -100 | -0.387  | 0.02     | 220000  | 303650   |
| -100 | -0.388  | 0.083    | 375000  | 302587   |
| -101 | -0.391  | 0.055    | 1400000 | 299396   |
| -102 | -0.394  | 0.006    | 210000  | 296205   |
| -102 | -0.396  | 0.017    | 700000  | 294078   |
| -104 | -0.404  | 0.003    | 450000  | 285569   |
| -105 | -0.407  | 0.039    | 500000  | 282378   |
| -110 | -0.427  | 0.081    | 800000  | 261106   |
| -114 | -0.44   | 0.017    | 20000   | 247279   |
| -120 | -0.466  | 0.067    |         | 219625   |
| -121 | -0.468  | 0.04     | 60000   | 217497   |
| -133 | -0.515  | 0.051    |         | 167507   |
| -144 | -0.557  | 0.081    | 60000   | 122835   |
| -180 | -0.697  | 0.076    | 900000  | -26071   |
| -183 | -0.707  | 0.095    | 1900000 | -36708   |
| -222 | -0.858  | 0.049    | 475000  | -197314  |
| 285  | 0.968   | 0.21     | 833000  | 1696711  |
| 229  | 0.779   | 0.143    | 2083333 | 1466583  |
| 218  | 0.742   | 0.167    | 916000  | 1421532  |
| 209  | 0.711   | 0.152    | 1350000 | 1383786  |
| 208  | 0.707   | 0.175    | 333000  | 1378916  |
| 200  | 0.681   | 0.171    | 333000  | 1347258  |
| 192  | 0.654   | 0.138    | 833333  | 1314383  |
| 191  | 0.65    | 0.14     |         | 1309512  |
| 190  | 0.648   | 0.181    | 708000  | 1307077  |
| 169  | 0.576   | 0.145    | 141000  | 1219410  |
| 169  | 0.574   | 0.166    | 700000  | 1216974  |
| 153  | 0.521   | 0.097    | 16000   | 1152441  |
| 150  | 0.51    | 0.1      | 58333   | 1139048  |
| 135  | 0.459   | 0.166    | 750000  | 1076950  |
| 103  | 0.349   | 0.172    | 916667  | 943013   |
| 95   | 0.323   | 0.128    | 541000  | 911355   |
| 86   | 0.294   | 0.06     | 333000  | 876045   |
| 85   | 0.29    | 0.094    | 1333333 | 871174   |
| 83   | 0.282   | 0.098    | 1583333 | 861434   |
| 81   | 0.276   | 0.155    | 1583333 | 854128   |
| 80   | 0.272   | 0.049    | 1400000 | 849257   |
| 79   | 0.269   | 0.115    | 366000  | 845605   |
| 78   | 0.264   | 0.08     | 791000  | 839517   |
| 77   | 0.263   | 0.12     | 1916667 | 838299   |
| 70   | 0.239   | 0.148    | 466000  | 809076   |
| 67   | 0.229   | 0.103    | 708000  | 796900   |
| 67   | 0.228   | 0.056    | 16000   | 795683   |
| 66   | 0.224   | 0.115    | 2083333 | 790812   |
| 64   | 0.219   | 0.054    | 333000  | 784724   |
| 63   | 0.214   | 0.074    | 83000   | 778636   |
| 56   | 0.189   | 0.117    | 16000   | 748196   |
| 52   | 0.177   | 0.134    | 2333000 | 733585   |
| 48   | 0.164   | 0.076    | 125000  | 717756   |
| 47   | 0.161   | 0.049    |         | 714103   |
| 46   | 0.157   | 0.128    | 500000  | 709233   |
| 42   | 0.144   | 0.07     |         | 693404   |
| 41   | 0.14    | 0.156    | 366000  | 688534   |
| 36   | 0.124   | 0.147    | 125000  | 669052   |
| 33   | 0.113   | 0.044    | 666000  | 655658   |
| 32   | 0.11    | 0.122    | 533000  | 652005   |
| 31   | 0.107   | 0.021    | 708000  | 648353   |
| 32   | 0.107   | 0.072    | 541000  | 648353   |
| 31   | 0.104   | 0.101    | 283000  | 644700   |
| 27   | 0.092   | 0.082    | 666000  | 630088   |
| 25   | 0.087   | 0.058    | 166000  | 624000   |
| 26   | 0.087   | 0.145    | 1083000 | 624000   |
| 26   | 0.087   | 0.128    | 1250000 | 624000   |
| 21   | 0.071   | 0.084    | 2500000 | 604519   |
| 19   | 0.065   | 0.094    | 300000  | 597213   |
| 16   | 0.056   | 0.029    | 400000  | 586255   |
| 16   | 0.055   | 0.13     | 833000  | 585037   |
| 14   | 0.048   | 0.049    | 116000  | 576514   |
| 14   | 0.046   | 0.023    | 366000  | 574079   |
| 12   | 0.041   | 0.076    | 1500000 | 567991   |
| 11   | 0.038   | 0.045    | 316000  | 564338   |
| 11   | 0.038   | 0.014    | 125000  | 564338   |
| 10   | 0.035   | 0.044    | 466000  | 560685   |
| 8    | 0.027   | 0.017    | 666667  | 550944   |
| 7    | 0.025   | 0.12     | 625000  | 548509   |
| 6    | 0.021   | 0.01     | 133000  | 543638   |
| 4    | 0.014   | 0.003    | 50000   | 535115   |
| 3    | 0.011   | 0.06     | 541000  | 531462   |
| 3    | 0.01    | 0.009    | 50000   | 530245   |
| 2    | 0.008   | 0.133    | 1000000 | 527810   |
| 2    | 0.007   | 0.098    | 466000  | 526592   |
| 2    | 0.006   | 0.018    | 216000  | 525374   |
| 1    | 0.004   | 0.009    | 33000   | 522939   |
| 0    | 0.001   | 0.008    | 83000   | 519286   |
| 0    | -0.001  | 0.072    |         | 516851   |
| -1   | -0.003  | 0.012    | 50000   | 514416   |
| -1   | -0.003  | 0.011    |         | 514416   |
| -1   | -0.005  | 0.022    | 700000  | 511981   |
| -2   | -0.008  | 0.022    | 50000   | 508328   |
| -4   | -0.013  | 0.008    | 16000   | 502240   |
| -5   | -0.018  | 0.087    |         | 496152   |
| -6   | -0.02   | 0.064    | 183000  | 493717   |
| -8   | -0.028  | 0.031    | 166000  | 483976   |
| -13  | -0.044  | 0.022    |         | 464494   |
| -13  | -0.045  | 0.015    | 166000  | 463277   |
| -14  | -0.046  | 0.066    | 166000  | 462059   |
| -14  | -0.047  | 0.091    | 283000  | 460841   |
| -14  | -0.049  | 0.024    | 433000  | 458406   |
| -15  | -0.051  | 0.04     | 583000  | 455971   |
| -16  | -0.056  | 0.054    | 833000  | 449883   |
| -17  | -0.058  | 0.001    | 108000  | 447448   |
| -19  | -0.065  | 0        | 16000   | 438924   |
| -20  | -0.067  | 0.024    | 800000  | 436489   |
| -20  | -0.069  | 0.051    | 433000  | 434054   |
| -21  | -0.073  | 0.029    | 50000   | 429184   |
| -23  | -0.077  | 0.131    | 850000  | 424313   |
| -23  | -0.078  | 0.013    | 150000  | 423096   |
| -25  | -0.084  | 0.105    | 750000  | 415790   |
| -25  | -0.086  | 0        | 100000  | 413355   |
| -25  | -0.086  | 0.001    | 33000   | 413355   |
| -26  | -0.087  | 0.073    | 466000  | 412137   |
| -26  | -0.087  | 0.016    | 1000000 | 412137   |
| -26  | -0.089  | 0.001    | 108000  | 409702   |
| -27  | -0.093  | 0.008    | 50000   | 404831   |
| -28  | -0.094  | 0.022    | 166000  | 403614   |
| -28  | -0.094  | 0.021    |         | 403614   |
| -30  | -0.101  | 0.103    | 1300000 | 395091   |
| -31  | -0.106  | 0.039    | 166000  | 389003   |
| -33  | -0.111  | 0.024    | 66000   | 382915   |
| -34  | -0.114  | 0.02     | 50000   | 379262   |
| -34  | -0.117  | 0.029    | 300000  | 375609   |
| -37  | -0.125  | 0.005    | 316000  | 365868   |
| -37  | -0.125  | 0.088    | 16000   | 365868   |
| -37  | -0.126  | 0.025    | 16000   | 364650   |
| -38  | -0.128  | 0.054    | 108000  | 362215   |
| -39  | -0.134  | 0.023    | 166000  | 354910   |
| -40  | -0.137  | 0.003    | 83000   | 351257   |
| -41  | -0.139  | 0.001    | 33000   | 348822   |
| -44  | -0.149  | 0.043    | 400000  | 336646   |
| -45  | -0.152  | 0.009    | 33000   | 332993   |
| -46  | -0.155  | 0.01     |         | 329340   |
| -48  | -0.163  | 0.018    | 66000   | 319599   |
| -48  | -0.164  | 0.032    | 33000   | 318381   |
| -49  | -0.166  | 0.05     | 233000  | 315946   |
| -52  | -0.176  | 0.007    | 158000  | 303770   |
| -58  | -0.196  | 0.055    | 1400000 | 279418   |
| -60  | -0.203  | 0.069    | 1666667 | 270895   |
| -60  | -0.203  | 0.021    | 16000   | 270895   |
| -62  | -0.21   | 0.007    | 400000  | 262372   |
| -64  | -0.217  | 0.017    | 75000   | 253848   |
| -65  | -0.221  | 0.036    |         | 248978   |
| -66  | -0.223  | 0.004    | 133000  | 246543   |
| -68  | -0.232  | 0.086    | 433000  | 235584   |
| -68  | -0.233  | 0.094    | 1333333 | 234367   |
| -70  | -0.237  | 0.077    | 2083000 | 229496   |
| -73  | -0.248  | 0.003    | 16000   | 216103   |
| -76  | -0.259  | 0.008    | 100000  | 202709   |
| -82  | -0.279  | 0.05     | 166000  | 178357   |
| -89  | -0.302  | 0.047    | 400000  | 150352   |
| -89  | -0.302  | 0.053    | 833000  | 150352   |
| -89  | -0.304  | 0.065    | 916000  | 147917   |
| -95  | -0.324  | 0.007    | 200000  | 123565   |
| -99  | -0.338  | 0.024    | 266000  | 106518   |
| -102 | -0.348  | 0.016    | 166000  | 94342    |
| -106 | -0.362  | 0.016    | 250000  | 77296    |
| -110 | -0.375  | 0.046    |         | 61467    |
| -115 | -0.393  | 0.017    | 266000  | 39550    |
| -119 | -0.405  | 0.083    | 900000  | 24939    |
| -127 | -0.432  | 0.051    | 141000  | -7937    |
| -130 | -0.441  | 0.045    | 583000  | -18895   |
| -133 | -0.452  | 0.048    | 791000  | -32289   |
| -136 | -0.464  | 0.041    | 250000  | -46900   |
| -146 | -0.496  | 0.05     | 250000  | -85864   |
| -149 | -0.507  | 0.046    | 200000  | -99257   |
| -150 | -0.512  | 0.097    | 1200000 | -105345  |
| -157 | -0.535  | 0.037    | 466000  | -133350  |
| -201 | -0.684  | 0.055    | 708000  | -314773  |
| -277 | -0.944  | 0.037    | 541000  | -631351  |
| 300  | 1.08    | 0.188    | 1583333 | 1689095  |
| 274  | 0.986   | 0.18     | 1333333 | 1585393  |
| 251  | 0.901   | 0.227    | 666667  | 1491620  |
| 243  | 0.874   | 0.172    | 916000  | 1461833  |
| 242  | 0.871   | 0.201    | 166000  | 1458524  |
| 241  | 0.867   | 0.16     | 833000  | 1454111  |
| 240  | 0.862   | 0.185    | 366000  | 1448595  |
| 229  | 0.824   | 0.152    | 2500000 | 1406673  |
| 225  | 0.809   | 0.174    | 16000   | 1390125  |
| 221  | 0.795   | 0.176    |         | 1374680  |
| 218  | 0.784   | 0.176    | 1350000 | 1362544  |
| 204  | 0.734   | 0.182    | 100000  | 1307384  |
| 185  | 0.664   | 0.163    | 1400000 | 1230159  |
| 124  | 0.446   | 0.14     | 900000  | 989659   |
| 123  | 0.443   | 0.161    | 333000  | 986349   |
| 110  | 0.395   | 0.104    | 1916667 | 933395   |
| 109  | 0.392   | 0.071    | 116000  | 930086   |
| 104  | 0.375   | 0.081    | 83333   | 911331   |
| 102  | 0.367   | 0.142    | 50000   | 902505   |
| 100  | 0.36    | 0.126    | 233333  | 894783   |
| 97   | 0.349   | 0.144    | 466667  | 882648   |
| 93   | 0.336   | 0.117    | 433333  | 868306   |
| 90   | 0.325   | 0.1      | 541000  | 856170   |
| 88   | 0.315   | 0.104    | 791000  | 845138   |
| 83   | 0.297   | 0.065    |         | 825281   |
| 82   | 0.295   | 0.106    | 541000  | 823074   |
| 81   | 0.291   | 0.124    | 708000  | 818661   |
| 80   | 0.288   | 0.095    |         | 815352   |
| 73   | 0.263   | 0.116    | 66000   | 787771   |
| 72   | 0.26    | 0.086    | 250000  | 784462   |
| 70   | 0.251   | 0.083    | 466000  | 774533   |
| 66   | 0.236   | 0.096    | 833333  | 757985   |
| 53   | 0.191   | 0.096    | 2083333 | 708340   |
| 51   | 0.182   | 0.039    | 33000   | 698411   |
| 47   | 0.167   | 0.087    | 233000  | 681863   |
| 44   | 0.158   | 0.161    | 1300000 | 671934   |
| 42   | 0.152   | 0.033    | 583000  | 665315   |
| 42   | 0.15    | 0.067    |         | 663109   |
| 41   | 0.148   | 0.06     | 666667  | 660902   |
| 40   | 0.144   | 0.093    | 833000  | 656489   |
| 36   | 0.131   | 0.109    | 750000  | 642148   |
| 35   | 0.127   | 0.098    | 183000  | 637735   |
| 34   | 0.122   | 0.087    | 2083333 | 632219   |
| 31   | 0.112   | 0.054    | 50000   | 621186   |
| 31   | 0.111   | 0.023    |         | 620083   |
| 29   | 0.104   | 0.036    | 300000  | 612361   |
| 28   | 0.1     | 0.042    | 750000  | 607948   |
| 27   | 0.097   | 0.106    | 708000  | 604638   |
| 24   | 0.087   | 0.022    | 16000   | 593606   |
| 20   | 0.071   | 0.068    | 541000  | 575955   |
| 19   | 0.069   | 0.087    | 1250000 | 573748   |
| 19   | 0.067   | 0.083    | 166667  | 571542   |
| 17   | 0.062   | 0.071    | 633333  | 566026   |
| 12   | 0.044   | 0.06     | 283000  | 546168   |
| 10   | 0.037   | 0.08     | 500000  | 538446   |
| 10   | 0.036   | 0.036    | 166000  | 537342   |
| 6    | 0.023   | 0.04     | 125000  | 523001   |
| 5    | 0.017   | 0.02     | 83333   | 516381   |
| 4    | 0.016   | 0.009    | 100000  | 515278   |
| 5    | 0.016   | 0.01     | 16000   | 515278   |
| 4    | 0.014   | 0.017    | 466000  | 513072   |
| 1    | 0.003   | 0.043    | 250000  | 500936   |
| 1    | 0.002   | 0.068    | 666000  | 499833   |
| 0    | 0       | 0.129    | 1333333 | 497627   |
| -1   | -0.005  | 0.01     | 400000  | 492111   |
| -3   | -0.009  | 0.037    | 133000  | 487698   |
| -2   | -0.009  | 0.009    | 158000  | 487698   |
| -2   | -0.009  | 0.008    | 33000   | 487698   |
| -4   | -0.016  | 0.004    |         | 479975   |
| -5   | -0.019  | 0.112    | 1583333 | 476666   |
| -10  | -0.037  | 0.007    | 50000   | 456808   |
| -11  | -0.04   | 0.101    | 141000  | 453498   |
| -16  | -0.058  | 0.01     | 100000  | 433641   |
| -16  | -0.059  | 0.148    | 125000  | 432537   |
| -17  | -0.063  | 0.003    | 16000   | 428125   |
| -19  | -0.067  | 0.074    | 1666667 | 423712   |
| -22  | -0.078  | 0.019    | 166000  | 411576   |
| -22  | -0.079  | 0.086    | 708000  | 410473   |
| -23  | -0.081  | 0        | 33333   | 408267   |
| -23  | -0.081  | 0        | 83000   | 408267   |
| -23  | -0.083  | 0        | 83333   | 406060   |
| -24  | -0.085  | 0.044    | 333000  | 403854   |
| -24  | -0.086  | 0.003    | 50000   | 402751   |
| -25  | -0.091  | 0.015    | 366000  | 397235   |
| -28  | -0.1    | 0.032    | 466000  | 387306   |
| -29  | -0.104  | 0.002    |         | 382893   |
| -29  | -0.105  | 0.023    | 250000  | 381790   |
| -30  | -0.108  | 0.008    | 533333  | 378480   |
| -30  | -0.108  | 0.002    | 183333  | 378480   |
| -31  | -0.111  | 0.022    | 108000  | 375170   |
| -32  | -0.117  | 0.005    | 16000   | 368551   |
| -34  | -0.124  | 0.052    |         | 360829   |
| -39  | -0.141  | 0.003    | 266000  | 342074   |
| -39  | -0.141  | 0.001    |         | 342074   |
| -42  | -0.152  | 0.036    | 108000  | 329939   |
| -42  | -0.153  | 0.061    | 366000  | 328836   |
| -43  | -0.154  | 0.079    | 16667   | 327732   |
| -44  | -0.158  | 0.044    | 700000  | 323320   |
| -48  | -0.172  | 0.024    |         | 307875   |
| -48  | -0.173  | 0.015    | 950000  | 306771   |
| -53  | -0.19   | 0.044    | 266000  | 288017   |
| -55  | -0.199  | 0.008    | 283333  | 278088   |
| -59  | -0.212  | 0.002    | 250000  | 263746   |
| -60  | -0.214  | 0.003    | 200000  | 261540   |
| -62  | -0.222  | 0.037    |         | 252714   |
| -63  | -0.227  | 0.099    | 916667  | 247198   |
| -65  | -0.234  | 0.003    | 466667  | 239475   |
| -66  | -0.236  | 0.005    | 141000  | 237269   |
| -67  | -0.239  | 0.004    | 166667  | 233959   |
| -67  | -0.242  | 0.005    | 16667   | 230650   |
| -67  | -0.243  | 0.054    | 200000  | 229547   |
| -69  | -0.247  | 0.007    | 266000  | 225134   |
| -70  | -0.253  | 0.082    | 1250000 | 218514   |
| -73  | -0.261  | 0.002    | 283000  | 209689   |
| -77  | -0.277  | 0.042    | 16000   | 192037   |
| -79  | -0.285  | 0.053    | 583333  | 183212   |
| -82  | -0.295  | 0.026    | 216000  | 172180   |
| -82  | -0.296  | 0.032    | 116000  | 171076   |
| -85  | -0.305  | 0.032    | 125000  | 161147   |
| -87  | -0.313  | 0.01     |         | 152322   |
| -87  | -0.313  | 0.021    | 533000  | 152322   |
| -88  | -0.316  | 0.005    | 16000   | 149012   |
| -94  | -0.337  | 0.019    | 500000  | 125845   |
| -95  | -0.341  | 0.021    | 1200000 | 121432   |
| -96  | -0.346  | 0.018    | 200000  | 115916   |
| -98  | -0.353  | 0.029    | 1750000 | 108193   |
| -100 | -0.359  | 0.063    | 433000  | 101574   |
| -102 | -0.368  | 0.024    | 83000   | 91645    |
| -104 | -0.374  | 0.019    | 58333   | 85026    |
| -106 | -0.381  | 0.026    | 333000  | 77303    |
| -110 | -0.396  | 0.011    | 50000   | 60755    |
| -112 | -0.403  | 0.089    | 33000   | 53033    |
| -122 | -0.438  | 0.078    | 625000  | 14420    |
| -126 | -0.453  | 0.085    | 333000  | -2128    |
| -127 | -0.458  | 0.012    | 433000  | -7644    |
| -133 | -0.478  | 0.068    | 16000   | -29708   |
| -141 | -0.507  | 0.065    | 2666667 | -61701   |
| -143 | -0.514  | 0.012    | 16000   | -69424   |
| -157 | -0.565  | 0.068    | 1083000 | -125687  |
| -165 | -0.594  | 0.058    | 366667  | -157681  |
| -165 | -0.595  | 0.031    | 16667   | -158784  |
| -184 | -0.66   | 0.037    | 66000   | -230492  |
| -187 | -0.673  | 0.047    | 1000000 | -244834  |
| -203 | -0.732  | 0.044    | 466000  | -309924  |
| -271 | -0.975  | 0.075    | 850000  | -578004  |
| 615  | 2.041   | 0.365    | 2500000 | 2594886  |
| 414  | 1.375   | 0.237    | 916000  | 1890050  |
| 307  | 1.019   | 0.189    | 1583333 | 1513292  |
| 251  | 0.833   | 0.155    | 16000   | 1316446  |
| 241  | 0.799   | 0.147    | 1666667 | 1280463  |
| 224  | 0.743   | 0.162    | 1916667 | 1221198  |
| 219  | 0.727   | 0.169    | 1050000 | 1204265  |
| 214  | 0.711   | 0.122    | 541000  | 1187332  |
| 208  | 0.69    | 0.125    | 45000   | 1165107  |
| 191  | 0.634   | 0.131    | 1333333 | 1105842  |
| 186  | 0.618   | 0.163    | 300000  | 1088909  |
| 178  | 0.591   | 0.144    | 2083333 | 1060335  |
| 169  | 0.561   | 0.146    | 100000  | 1028585  |
| 162  | 0.537   | 0.127    | 150000  | 1003186  |
| 154  | 0.512   | 0.092    | 666000  | 976728   |
| 137  | 0.454   | 0.116    | 166000  | 915346   |
| 126  | 0.419   | 0.166    | 708000  | 878305   |
| 116  | 0.385   | 0.089    |         | 842323   |
| 111  | 0.367   | 0.084    | 2083333 | 823273   |
| 99   | 0.329   | 0.116    | 500000  | 783057   |
| 96   | 0.319   | 0.08     | 75000   | 772474   |
| 89   | 0.296   | 0.133    | 345000  | 748133   |
| 85   | 0.281   | 0.126    | 141000  | 732258   |
| 82   | 0.272   | 0.058    | 15000   | 722733   |
| 80   | 0.265   | 0.083    |         | 715325   |
| 79   | 0.264   | 0.06     | 66000   | 714267   |
| 79   | 0.264   | 0.135    | 210000  | 714267   |
| 79   | 0.263   | 0.067    | 366000  | 713209   |
| 76   | 0.251   | 0.072    | 75000   | 700509   |
| 72   | 0.24    | 0.054    | 300000  | 688867   |
| 71   | 0.234   | 0.09     | 82500   | 682518   |
| 70   | 0.232   | 0.132    | 300000  | 680401   |
| 68   | 0.226   | 0.099    | 825000  | 674051   |
| 68   | 0.225   | 0.093    | 600000  | 672993   |
| 64   | 0.213   | 0.107    | 583000  | 660293   |
| 55   | 0.183   | 0.046    | 216000  | 628544   |
| 50   | 0.165   | 0.029    | 720000  | 609494   |
| 42   | 0.14    | 0.07     | 433000  | 583036   |
| 42   | 0.139   | 0.033    | 333000  | 581978   |
| 37   | 0.123   | 0.024    | 83333   | 565045   |
| 33   | 0.108   | 0.055    | 791000  | 549170   |
| 31   | 0.103   | 0.091    | 700000  | 543879   |
| 25   | 0.083   | 0.018    | 75000   | 522713   |
| 25   | 0.081   | 0.057    | 285000  | 520596   |
| 23   | 0.076   | 0.019    | 195000  | 515304   |
| 20   | 0.066   | 0.017    | 500000  | 504721   |
| 19   | 0.063   | 0.093    | 15000   | 501546   |
| 19   | 0.062   | 0.115    | 200000  | 500488   |
| 17   | 0.055   | 0.061    | 283000  | 493080   |
| 16   | 0.053   | 0.082    |         | 490963   |
| 16   | 0.052   | 0.106    | 180000  | 489905   |
| 15   | 0.05    | 0.017    | 525000  | 487788   |
| 15   | 0.049   | 0.121    | 50000   | 486730   |
| 14   | 0.048   | 0.043    | 366000  | 485672   |
| 14   | 0.047   | 0.026    | 16667   | 484613   |
| 13   | 0.042   | 0.038    |         | 479322   |
| 12   | 0.041   | 0.041    |         | 478263   |
| 11   | 0.038   | 0.033    |         | 475089   |
| 10   | 0.033   | 0.028    | 466000  | 469797   |
| 10   | 0.032   | 0.041    | 30000   | 468739   |
| 8    | 0.027   | 0.02     | 33000   | 463447   |
| 7    | 0.024   | 0.165    | 1425000 | 460272   |
| 5    | 0.016   | 0.015    | 75000   | 451806   |
| 3    | 0.011   | 0.081    | 708000  | 446514   |
| 2    | 0.008   | 0.054    | 15000   | 443339   |
| 2    | 0.006   | 0.067    | 630000  | 441223   |
| 0    | 0       | 0.072    | 466000  | 434873   |
| -1   | -0.004  | 0.025    | 225000  | 430639   |
| -2   | -0.008  | 0.041    | 116000  | 426406   |
| -4   | -0.013  | 0.006    | 216000  | 421115   |
| -8   | -0.027  | 0.007    | 633333  | 406298   |
| -9   | -0.03   | 0.006    | 116667  | 403123   |
| -12  | -0.04   | 0.035    |         | 392540   |
| -12  | -0.04   | 0.079    | 345000  | 392540   |
| -12  | -0.041  | 0.035    | 58333   | 391482   |
| -14  | -0.046  | 0.008    | 45000   | 386190   |
| -14  | -0.047  | 0.025    | 708000  | 385132   |
| -15  | -0.049  | 0.08     | 833000  | 383015   |
| -16  | -0.052  | 0.01     | 52500   | 379841   |
| -16  | -0.053  | 0.013    | 50000   | 378782   |
| -19  | -0.063  | 0.058    | 366000  | 368199   |
| -20  | -0.067  | 0.028    | 45000   | 363966   |
| -20  | -0.068  | 0.025    | 83333   | 362908   |
| -21  | -0.069  | 0.003    | 180000  | 361849   |
| -21  | -0.069  | 0.002    |         | 361849   |
| -21  | -0.07   | 0.001    | 15000   | 360791   |
| -22  | -0.072  | 0.027    | 250000  | 358674   |
| -23  | -0.076  | 0.001    | 45000   | 354441   |
| -23  | -0.078  | 0.039    | 116000  | 352324   |
| -28  | -0.092  | 0.088    | 1250000 | 337508   |
| -28  | -0.092  | 0.016    | 45000   | 337508   |
| -29  | -0.096  | 0.001    | 16667   | 333275   |
| -29  | -0.096  | 0        | 108000  | 333275   |
| -30  | -0.099  | 0.014    |         | 330100   |
| -32  | -0.105  | 0.026    | 541000  | 323750   |
| -34  | -0.112  | 0.004    |         | 316342   |
| -35  | -0.116  | 0.004    | 50000   | 312109   |
| -38  | -0.126  | 0.003    | 15000   | 301526   |
| -38  | -0.127  | 0.028    | 15000   | 300467   |
| -41  | -0.136  | 0.004    | 33000   | 290942   |
| -41  | -0.136  | 0.003    | 466667  | 290942   |
| -43  | -0.144  | 0.045    | 15000   | 282476   |
| -44  | -0.145  | 0.002    | 45000   | 281418   |
| -44  | -0.146  | 0.001    | 345000  | 280359   |
| -45  | -0.149  | 0.003    | 16000   | 277184   |
| -46  | -0.153  | 0.011    | 15000   | 272951   |
| -48  | -0.159  | 0.001    | 240000  | 266601   |
| -48  | -0.159  | 0.002    | 30000   | 266601   |
| -48  | -0.16   | 0.026    | 570000  | 265543   |
| -54  | -0.18   | 0.037    | 233000  | 244377   |
| -57  | -0.191  | 0.026    | 100000  | 232735   |
| -58  | -0.192  | 0.025    | 1275000 | 231677   |
| -58  | -0.192  | 0.001    | 15000   | 231677   |
| -59  | -0.196  | 0.017    | 16000   | 227444   |
| -60  | -0.198  | 0.005    | 266000  | 225327   |
| -60  | -0.2    | 0.019    |         | 223211   |
| -61  | -0.201  | 0.04     |         | 222152   |
| -61  | -0.203  | 0.066    | 1400000 | 220036   |
| -61  | -0.204  | 0.048    | 90000   | 218977   |
| -62  | -0.206  | 0.056    | 570000  | 216861   |
| -67  | -0.221  | 0.004    | 15000   | 200986   |
| -67  | -0.223  | 0.017    | 141000  | 198869   |
| -68  | -0.224  | 0.115    | 125000  | 197811   |
| -69  | -0.229  | 0.068    | 630000  | 192519   |
| -75  | -0.249  | 0.064    | 1050000 | 171353   |
| -76  | -0.252  | 0.089    | 975000  | 168178   |
| -79  | -0.262  | 0.006    | 150000  | 157595   |
| -85  | -0.283  | 0.028    | 120000  | 135371   |
| -87  | -0.287  | 0.07     | 375000  | 131137   |
| -87  | -0.288  | 0.087    | 1583333 | 130079   |
| -87  | -0.288  | 0.076    | 666667  | 130079   |
| -88  | -0.294  | 0.04     | 708000  | 123729   |
| -91  | -0.301  | 0.009    | 30000   | 116321   |
| -91  | -0.302  | 0.112    | 916667  | 115263   |
| -98  | -0.325  | 0.009    | 1083000 | 90922    |
| -103 | -0.343  | 0.041    | 900000  | 71872    |
| -105 | -0.348  | 0.014    | 105000  | 66580    |
| -109 | -0.36   | 0.08     | 541000  | 53881    |
| -112 | -0.371  | 0.028    | 850000  | 42239    |
| -112 | -0.372  | 0.011    | 66000   | 41181    |
| -114 | -0.379  | 0.086    | 150000  | 33773    |
| -117 | -0.389  | 0.014    | 30000   | 23190    |
| -119 | -0.395  | 0.011    | 158000  | 16840    |
| -121 | -0.4    | 0.085    | 1333333 | 11548    |
| -121 | -0.401  | 0.118    | 666667  | 10490    |
| -123 | -0.408  | 0.023    | 315000  | 3082     |
| -123 | -0.41   | 0.046    | 630000  | 965      |
| -124 | -0.412  | 0.026    | 83000   | -1151    |
| -127 | -0.421  | 0.065    | 466000  | -10676   |
| -127 | -0.421  | 0.023    | 300000  | -10676   |
| -128 | -0.425  | 0.029    | 833333  | -14909   |
| -133 | -0.441  | 0.014    | 625000  | -31842   |
| -143 | -0.476  | 0.005    | 433333  | -68883   |
| -151 | -0.502  | 0.021    | 333000  | -96399   |
| -159 | -0.528  | 0.033    | 1000000 | -123916  |
| -214 | -0.712  | 0.076    | 525000  | -318645  |
| -218 | -0.722  | 0.028    | 16667   | -329228  |
| -227 | -0.753  | 0.114    | 166000  | -362036  |
| 351  | 1.274   | 0.211    | 916000  | 1783802  |
| 316  | 1.146   | 0.207    | 45000   | 1648517  |
| 304  | 1.104   | 0.228    | 708000  | 1604126  |
| 236  | 0.854   | 0.151    |         | 1339898  |
| 205  | 0.742   | 0.132    | 75000   | 1221524  |
| 185  | 0.672   | 0.142    | 283000  | 1147540  |
